image,tp,fp,gt,precision,recall
boat10.png,8,0,8,1.0,1.0
boat107.png,4,1,5,0.8,0.8
boat12.png,1,0,1,1.0,1.0
boat124.png,0,0,4,0.0,0.0
boat125.png,0,0,2,0.0,0.0
boat133.png,1,0,1,1.0,1.0
boat142.png,1,0,6,1.0,0.16666666666666666
boat148.png,1,0,1,1.0,1.0
boat149.png,1,1,4,0.5,0.25
boat152.png,2,1,2,0.6666666666666666,1.0
boat161.png,1,0,1,1.0,1.0
boat167.png,1,0,1,1.0,1.0
boat168.png,2,0,2,1.0,1.0
boat169.png,1,0,1,1.0,1.0
boat172.png,1,0,1,1.0,1.0
boat176.png,0,2,3,0.0,0.0
boat18.png,1,0,1,1.0,1.0
boat19.png,1,0,1,1.0,1.0
boat197.png,1,0,1,1.0,1.0
boat198.png,2,0,2,1.0,1.0
boat204.png,3,0,3,1.0,1.0
boat216.png,1,0,1,1.0,1.0
boat217.png,1,0,1,1.0,1.0
boat224.png,0,1,1,0.0,0.0
boat229.png,1,0,1,1.0,1.0
boat231.png,0,1,4,0.0,0.0
boat261.png,1,0,1,1.0,1.0
boat270.png,1,0,1,1.0,1.0
boat29.png,1,0,1,1.0,1.0
boat290.png,75,8,100,0.9036144578313253,0.75
boat294.png,1,0,1,1.0,1.0
boat295.png,0,0,1,0.0,0.0
boat299.png,1,0,1,1.0,1.0
boat300.png,1,0,1,1.0,1.0
boat305.png,1,0,1,1.0,1.0
boat312.png,4,1,5,0.8,0.8
boat316.png,1,0,1,1.0,1.0
boat322.png,1,0,1,1.0,1.0
boat323.png,1,0,1,1.0,1.0
boat337.png,0,0,1,0.0,0.0
boat338.png,1,0,1,1.0,1.0
boat362.png,2,0,2,1.0,1.0
boat371.png,1,0,1,1.0,1.0
boat375.png,1,0,1,1.0,1.0
boat384.png,1,0,2,1.0,0.5
boat403.png,0,1,1,0.0,0.0
boat409.png,1,0,1,1.0,1.0
boat42.png,12,71,97,0.14457831325301204,0.12371134020618557
boat420.png,0,0,1,0.0,0.0
boat429.png,1,0,1,1.0,1.0
boat431.png,3,0,3,1.0,1.0
boat436.png,1,0,1,1.0,1.0
boat445.png,1,0,1,1.0,1.0
boat450.png,1,0,1,1.0,1.0
boat451.png,1,0,1,1.0,1.0
boat46.png,0,1,2,0.0,0.0
boat462.png,1,0,1,1.0,1.0
boat469.png,2,0,2,1.0,1.0
boat475.png,1,1,1,0.5,1.0
boat478.png,1,0,1,1.0,1.0
boat482.png,0,0,1,0.0,0.0
boat495.png,0,1,2,0.0,0.0
boat50.png,1,0,1,1.0,1.0
boat501.png,1,0,1,1.0,1.0
boat532.png,1,0,1,1.0,1.0
boat542.png,1,0,1,1.0,1.0
boat571.png,1,0,1,1.0,1.0
boat574.png,1,0,1,1.0,1.0
boat576.png,1,0,1,1.0,1.0
boat579.png,4,1,10,0.8,0.4
boat584.png,1,0,1,1.0,1.0
boat590.png,1,0,3,1.0,0.3333333333333333
boat592.png,1,0,1,1.0,1.0
boat602.png,1,0,1,1.0,1.0
boat609.png,1,0,1,1.0,1.0
boat612.png,2,0,2,1.0,1.0
boat614.png,1,1,1,0.5,1.0
boat626.png,1,0,1,1.0,1.0
boat637.png,1,0,1,1.0,1.0
boat644.png,1,0,1,1.0,1.0
boat649.png,1,0,1,1.0,1.0
boat657.png,1,0,1,1.0,1.0
boat675.png,1,0,1,1.0,1.0
boat678.png,1,0,1,1.0,1.0
boat680.png,1,0,1,1.0,1.0
boat683.png,0,1,1,0.0,0.0
boat685.png,2,0,2,1.0,1.0
boat690.png,0,1,3,0.0,0.0
boat71.png,2,0,2,1.0,1.0
boat81.png,1,0,1,1.0,1.0
boat84.png,2,0,2,1.0,1.0
boat88.png,1,0,1,1.0,1.0
boat95.png,2,0,2,1.0,1.0
boat96.png,1,0,1,1.0,1.0
OVERALL,195,95,351,0.6724137931034483,0.5555555555555556
